date_use,total_cases,new_case,avg_cases,total_deaths,new_deaths,avg_deaths
2020-04-08,11676,606,634.0,288,40,25.0
2020-04-07,11070,701,635.0,248,25,22.0
2020-04-06,10369,537,626.0,223,17,21.0
2020-04-05,9832,592,637.0,206,23,20.0
2020-04-04,9240,591,605.0,183,21,19.0
2020-04-03,8649,788,577.0,162,26,17.0
2020-04-02,7861,620,518.0,136,22,14.0
2020-04-01,7241,614,483.0,114,19,12.0
2020-03-31,6627,638,457.0,95,17,10.0
2020-03-30,5989,616,406.0,78,11,8.0
2020-03-29,5373,370,360.0,67,15,8.0
2020-03-28,5003,393,343.0,52,8,6.0
2020-03-27,4610,374,315.0,44,9,5.0
2020-03-26,4236,373,297.0,35,4,4.0
2020-03-25,3863,436,275.0,31,7,4.0
2020-03-24,3427,281,239.0,24,3,3.0
2020-03-23,3146,291,229.0,21,7,3.0
2020-03-22,2855,253,219.0,14,4,2.0
2020-03-21,2602,195,207.0,10,3,1.0
2020-03-20,2407,252,200.0,7,3,1.0
2020-03-19,2155,217,185.0,4,4,1.0
2020-03-18,1938,187,177.0,0,0,0.0
2020-03-17,1751,208,169.0,0,0,0.0
2020-03-16,1543,223,153.0,0,0,0.0
2020-03-15,1320,168,134.0,0,0,0.0
2020-03-14,1152,144,116.0,0,0,0.0
2020-03-13,1008,151,102.0,0,0,0.0
2020-03-12,857,157,86.0,0,0,0.0
2020-03-11,700,132,68.0,0,0,0.0
2020-03-10,568,96,52.0,0,0,0.0
2020-03-09,472,87,40.0,0,0,0.0
2020-03-08,385,47,31.0,0,0,0.0
2020-03-07,338,41,28.0,0,0,0.0
2020-03-06,297,43,,0,0,
2020-03-05,254,33,,0,0,
2020-03-04,221,19,,0,0,
2020-03-03,202,13,,0,0,
2020-03-02,189,19,,0,0,
2020-03-01,170,25,,0,0,
